"Id.Proceso.CNA","Institución","Estado de acreditación","Años de acreditación","Duración del programa (trimestres)","¿Tiene inclusión o diversidad en el perfil de egreso?","¿Tiene ramos de inclusión?","Cantidad de ramos de inclusión","Carrera"
"PREG-00485-06-00","UNIVERSIDAD DE LA SERENA","Acreditada",3,20,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
"PREG-00553-04-00","UNIVERSIDAD DE SANTIAGO DE CHILE","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
"PREG-00705-03-00","UNIVERSIDAD DIEGO PORTALES","Acreditada",6,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
"PREG-00308-04-00","UNIVERSIDAD CENTRAL DE CHILE","Acreditada",3,20,"No","Si",4,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
"PREG-02035-02-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",4,16,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
"PREG-00486-04-00","UNIVERSIDAD DE LA SERENA","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN MUSICAL"
"PREG-00540-06-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",4,18,"Si","No",0,"PEDAGOGÍA EN EDUCACIÓN MUSICAL"
"PREG-00430-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN MUSICAL"
"PREG-00301-05-00","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN FILOSOFÍA"
"PREG-00138-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",4,20,"No","No",0,"PEDAGOGÍA EN FILOSOFÍA"
"PREG-00104-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN FILOSOFÍA"
"PREG-00432-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN FILOSOFÍA"
"PREG-00637-04-00","UNIVERSIDAD DE VALPARAÍSO","Acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN FILOSOFÍA"
"PREG-00542-04-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",5,18,"No","No",0,"PEDAGOGÍA EN FILOSOFÍA"
"PREG-00543-05-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",4,18,"No","No",0,"PEDAGOGÍA EN FÍSICA"
"PREG-00108-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Acreditada",7,20,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICAS"
"PREG-01021-04-00","UNIVERSIDAD AUSTRAL DE CHILE","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICAS"
"PREG-00435-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICAS"
"PREG-00169-04-00","UNIVERSIDAD ARTURO PRAT","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICAS Y FÍSICA"
"PREG-00490-05-00","UNIVERSIDAD DE LA SERENA","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN MATEMÁTICAS Y FÍSICA"
